token,freq
the,916
of,509
and,434
in,343
egypt,341
160,336
to,213
egyptian,126
as,112
retrieved,112
by,102
for,97
s,96
is,92
on,92
from,83
was,77
with,72
2011,54
arab,48
2012,45
has,45
are,43
february,40
2013,39
at,39
country,36
main,36
egyptians,35
its,35
world,34
cairo,33
it,33
that,32
2010,31
an,30
first,30
new,30
government,29
most,29
history,28
article,27
human,27
other,27
were,27
been,26
middle,26
this,26
about,25
august,25
military,25
president,25
rights,25
ancient,24
national,24
nile,24
november,24
republic,24
state,24
states,24
arabic,23
articles,23
june,23
their,23
university,23
25,22
education,22
foreign,22
muslim,22
or,22
2013-02-08,21
also,21
council,21
december,21
have,21
international,21
mubarak,21
united,21
2008,20
culture,20
muhammad,20
one,20
population,20
which,20
african,19
alexandria,19
countries,19
law,19
such,19
tourism,19
after,18
ali,18
be,18
between,18
had,18
morsi,18
religion,18
