token,freq
the,700
of,424
and,308
160,307
in,279
tunisia,210
to,131
retrieved,105
from,87
is,86
by,72
was,69
with,65
tunisian,59
as,58
on,58
tunis,45
for,42
french,38
arab,36
are,34
isbn,33
an,31
has,30
main,30
it,28
2011,26
article,26
at,26
were,26
ben,25
which,25
world,25
its,24
or,24
history,23
january,23
2013,22
country,22
de,22
international,22
arabic,21
also,20
national,20
2013-01-19,19
africa,19
african,19
ali,19
republic,19
that,19
who,19
archived,18
first,18
mediterranean,18
original,18
under,18
human,17
new,17
over,17
president,17
26,16
after,16
algeria,16
articles,16
have,16
rights,16
states,16
such,16
there,16
city,15
la,15
their,15
this,15
union,15
2010-05-02,14
be,14
but,14
carthage,14
century,14
most,14
north,14
ottoman,14
revolution,14
12,13
2008,13
about,13
culture,13
during,13
el,13
islamic,13
population,13
state,13
2010,12
2012,12
government,12
music,12
